user_id,item_id,time
22512,7500,1396396800
22512,9306,1396396800
22512,5323,1386028800
22512,9065,1396396800
2016,4554,1371859200
2016,3165,1371859200
2016,1518,1371859200
22933,10355,1402185600
22933,7315,1380844800
22933,7251,1368662400
22933,7146,1368662400
15482,3171,1378857600
15482,10068,1404172800
15482,4939,1347062400
17907,7224,1380758400
17907,7366,1379030400
17907,2292,1322438400
17907,6180,1399334400
17907,5527,1364169600
17907,5153,1399334400
17907,5211,1361145600
27086,6624,1388016000
27086,10338,1400803200
27086,9927,1400803200
27086,9463,1383177600
27086,6874,1393372800
27086,7322,1383696000
13079,3341,1389139200
13079,2260,1389139200
13079,9274,1389139200
13079,2394,1389139200
13079,2675,1389139200
13079,1435,1389139200
12978,6302,1388534400
12978,7878,1388534400
12978,1421,1390089600
14439,5236,1395878400
14439,3418,1395878400
14439,2057,1395878400
22118,5584,1383782400
22118,6374,1383782400
22118,3853,1379376000
15500,9161,1388880000
15500,1777,1379548800
15500,5155,1379548800
15500,8936,1379548800
15500,6494,1379548800
15500,10410,1367798400
5455,1166,1331251200
5455,483,1320796800
5455,5897,1359676800
5455,5071,1357516800
5455,5916,1354147200
5455,6120,1356566400
19721,5021,1387152000
19721,9292,1396310400
19721,2836,1326326400
19721,8071,1383177600
19721,8361,1381363200
19721,4420,1388620800
19721,9389,1381536000
19721,9793,1405382400
9027,6793,1389052800
9027,1609,1355184000
9027,917,1380326400
9027,3247,1380326400
9027,1577,1341878400
17221,8101,1375401600
17221,4102,1375401600
17221,6447,1375401600
17221,6041,1374537600
26007,8319,1393200000
26007,5485,1391644800
26007,7120,1393200000
26007,7412,1393200000
26007,8606,1391990400
26007,7402,1393200000
7398,1399,1297987200
7398,9134,1388448000
7398,9725,1389312000
7398,6964,1356652800
7398,3360,1355443200
7398,5602,1353801600
7398,1862,1341187200
7398,2201,1330646400
7398,5976,1352505600
7398,2984,1356566400
7398,677,1303689600
7398,2582,1323129600
7398,7023,1369094400
7398,2885,1320105600
7398,7779,1403136000
7398,6542,1357603200
7398,1786,1297987200
7398,6201,1364256000
7398,4955,1365120000
7398,5994,1356566400
8466,2659,1404777600
8466,831,1340236800
8466,4897,1404777600
8466,9718,1404777600
8466,6943,1404777600
7395,6252,1364083200
7395,677,1375660800
7395,1826,1322956800
7395,1153,1322956800
7395,1234,1404432000
7395,5879,1364083200
7395,5833,1364083200
7395,1435,1401062400
